16;Big;Chief.mp3,242.57,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Big;Chief.mp3,5.99,2012-04-14T07:42:52.875000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Buona;Sera.mp3,179.33,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Buona;Sera.mp3,4.54,2012-04-14T07:50:45.625000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Go;Go.mp3,183.1,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Go;Go.mp3,3.23,2012-04-14T07:43:10.312500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Go;To;The;Mardi;gras.mp3,152.07,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Go;To;The;Mardi;gras.mp3,3.92,2012-04-14T07:19:43.406250;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Helping;Hand;(A;Thousand;Miles;Aw.mp3,135.78,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Helping;Hand;(A;Thousand;Miles;Aw.mp3,2.61,2012-04-14T07:23:34.078125;;;;;;;;;;;;;;;;;;;;;;;;
16;Just;A;Little;While;To;Stay;Here;1.mp3,197.83,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Just;A;Little;While;To;Stay;Here;1.mp3,3.46,2012-04-14T07:12:35.109375;;;;;;;;;;;;;;;;;;;;
16;Knock;With;Me;-0;Rock;With;Me.mp3,455.55,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Knock;With;Me;-0;Rock;With;Me.mp3,17.81,2012-04-14T07:47:30.515625;;;;;;;;;;;;;;;;;;;;;;
16;Route;;66.mp3,324.94,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\16;Route;;66.mp3,7.87,2012-04-14T07:47:21.421875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Alle;Parti;Pour;Voi;Beau;Jocque;(;1.mp3,188.37,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Alle;Parti;Pour;Voi;Beau;Jocque;(;1.mp3,4.75,2012-04-14T06:54:04.718750;;;;;;;;;;;;;;;;;;;;
17;Didn't;He;Ramble_Skokiaan.mp3,40.37,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Didn't;He;Ramble_Skokiaan.mp3,1.36,2012-04-14T07:24:44.218750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Hey;Pocky;A-Way.mp3,246.73,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Hey;Pocky;A-Way.mp3,6.08,2012-04-14T07:42:14.812500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;It's;Raining.mp3,128.39,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;It's;Raining.mp3,2.89,2012-04-14T07:32:40.015625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
