Psyche;Jammage.m4a,398.8,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\Psyche;Jammage.m4a,3.05,2016-10-23T11:59:19.751601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainboris;Demo.mp3,309.16,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\Rainboris;Demo.mp3,4.72,2016-12-03T01:42:13.543229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm228_2016022315215400.wav,24.0,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm228_2016022315215400.wav,0.09,2016-02-23T17:52:30.521659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2015032714442100;(1).wav,25.92,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2015032714442100;(1).wav,0.1,2015-04-13T13:42:35.629230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2015032714442100.wav,25.92,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2015032714442100.wav,0.1,2015-03-30T13:52:50.742291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2015121414551200.wav,7.49,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2015121414551200.wav,0.03,2015-12-14T16:42:03.994513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2016031609101900.wav,11.78,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2016031609101900.wav,0.04,2016-03-16T09:10:53.334678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2016053112165200;(1).wav,23.49,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2016053112165200;(1).wav,0.09,2016-06-01T09:12:22.772053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2016053112165200.wav,23.49,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2016053112165200.wav,0.09,2016-05-31T12:21:58.719325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rcvm255_2016053112293400.wav,13.12,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\rcvm255_2016053112293400.wav,0.05,2016-05-31T13:11:14.083940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
